pos,pal,ppc,pse,pcn,pes,pca,pm,pcs,Hwday,Lq,hackathons,csr,psp,cwl,slc,Ecd,cert,ws,tta,oly,rws,mcscore,Is,ica,JHS,company,ip,games,Books,SalaryExp,Realtionship,behaviour,mort,tyw,wrt,itr,jr
69,63,78,87,94,94,87,84,61,9,4,0,4,8,yes,yes,yes,shell programming,cloud computing,no,yes,excellent,excellent,cloud computing,system developer,higherstudies,Web Services,no,no,Prayer books,salary,no,stubborn,Management,salary,hard worker,yes,no,Database Developer
78,62,73,60,71,70,73,84,91,12,7,1,2,3,yes,no,yes,machine learning,database security,no,no,poor,medium,networks,Business process analyst,job,SAaS services,yes,yes,Childrens,salary,yes,gentle,Technical,salary,hard worker,no,yes,Portal Administrator
71,86,91,87,61,81,72,72,94,11,1,4,1,3,yes,no,yes,app development,web technologies,no,yes,poor,excellent,hacking,developer,higherstudies,Sales and Marketing,yes,yes,Travel,Work,no,stubborn,Management,work,hard worker,no,yes,Portal Administrator
76,87,60,84,89,73,62,88,69,7,1,1,2,5,no,yes,no,python,data science,yes,no,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Romance,Work,yes,gentle,Management,work,smart worker,yes,yes,Systems Security Administrator
92,62,90,67,71,89,73,71,73,4,5,4,6,3,no,no,no,app development,cloud computing,no,no,poor,excellent,Computer Architecture,testing,higherstudies,product development,no,yes,Cookbooks,salary,no,stubborn,Management,work,hard worker,yes,yes,Business Systems Analyst
88,86,62,79,93,84,69,71,82,11,5,3,8,1,yes,yes,no,python,database security,no,no,poor,medium,programming,system developer,job,Testing and Maintainance Services,yes,yes,Self help,salary,no,stubborn,Management,work,smart worker,yes,no,Software Systems Engineer
93,77,69,79,90,93,73,63,77,6,3,2,3,3,no,no,yes,r programming,cloud computing,no,no,excellent,poor,parallel computing,security,job,BPA,no,no,Drama,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Database Developer
84,72,88,62,66,63,78,94,60,12,2,1,6,6,yes,no,no,r programming,cloud computing,no,yes,poor,excellent,parallel computing,developer,higherstudies,BPA,no,no,Romance,salary,no,stubborn,Technical,salary,smart worker,no,no,Business Intelligence Analyst
73,66,66,81,81,69,61,87,90,10,5,2,4,8,no,yes,no,information security,testing,yes,no,poor,poor,IOT,developer,higherstudies,BPA,no,no,Math,Work,no,gentle,Technical,work,hard worker,yes,yes,Business Systems Analyst
62,76,85,91,82,69,63,63,81,10,9,0,5,4,no,no,yes,app development,data science,yes,yes,excellent,poor,data engineering,Business process analyst,job,product development,no,no,Religion-Spirituality,Work,yes,gentle,Management,salary,hard worker,yes,no,CRM Technical Developer
73,80,70,83,61,82,75,94,89,8,6,2,3,9,yes,no,no,hadoop,database security,no,yes,medium,poor,parallel computing,security,higherstudies,Sales and Marketing,no,yes,Cookbooks,Work,yes,stubborn,Management,salary,hard worker,yes,yes,Mobile Applications Developer
63,76,81,90,70,72,86,89,85,8,3,6,9,7,no,yes,no,machine learning,hacking,yes,yes,medium,excellent,parallel computing,testing,higherstudies,Testing and Maintainance Services,yes,no,Anthology,Work,yes,stubborn,Management,work,smart worker,yes,no,UX Designer
63,64,61,67,61,70,65,64,79,8,2,2,8,6,yes,no,yes,distro making,game development,yes,no,medium,poor,cloud computing,system developer,higherstudies,Service Based,yes,no,Trilogy,salary,yes,stubborn,Technical,work,smart worker,yes,no,CRM Technical Developer
68,93,77,60,77,81,67,81,91,12,5,3,6,5,no,no,yes,python,testing,no,no,poor,poor,parallel computing,developer,higherstudies,Testing and Maintainance Services,no,yes,Autobiographies,salary,yes,stubborn,Management,work,smart worker,yes,yes,Business Systems Analyst
90,83,66,71,65,67,86,63,62,9,6,2,3,8,yes,no,yes,machine learning,hacking,yes,yes,poor,poor,Software Engineering,security,job,Testing and Maintainance Services,yes,no,Math,salary,no,stubborn,Management,work,hard worker,yes,no,Quality Assurance Associate
94,71,63,74,61,69,65,62,68,4,7,6,5,8,yes,yes,yes,information security,system designing,yes,no,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Childrens,salary,no,stubborn,Technical,salary,hard worker,no,no,Web Developer
60,92,94,90,62,94,62,73,60,11,7,5,5,4,no,no,yes,app development,hacking,no,no,medium,medium,IOT,developer,job,Sales and Marketing,yes,yes,Mystery,salary,yes,gentle,Technical,work,hard worker,yes,yes,Web Developer
92,86,61,63,64,65,92,65,60,4,9,6,3,4,no,yes,no,hadoop,web technologies,no,no,medium,excellent,hacking,security,job,product development,no,yes,Math,Work,yes,stubborn,Management,salary,smart worker,yes,no,Information Security Analyst
82,91,68,86,78,61,91,82,82,12,8,0,7,1,no,no,no,machine learning,testing,no,no,medium,medium,Computer Architecture,Business process analyst,higherstudies,Web Services,yes,no,Diaries,Work,yes,stubborn,Technical,work,hard worker,yes,no,CRM Business Analyst
90,73,90,67,63,88,67,60,69,12,6,0,2,8,no,yes,no,hadoop,system designing,yes,yes,excellent,excellent,parallel computing,cloud computing,job,SAaS services,yes,no,Autobiographies,Work,yes,stubborn,Management,work,hard worker,no,no,Information Security Analyst
67,61,66,62,93,91,88,88,70,4,5,0,2,5,yes,yes,yes,app development,game development,yes,no,medium,poor,parallel computing,security,higherstudies,Product based,no,no,Journals,Work,yes,stubborn,Technical,work,hard worker,yes,no,Database Developer
65,61,73,90,89,74,82,60,84,5,8,3,2,8,yes,yes,yes,hadoop,system designing,no,yes,excellent,poor,hacking,security,higherstudies,BPA,yes,no,History,Work,no,stubborn,Management,salary,hard worker,yes,yes,Business Systems Analyst
84,62,70,70,67,65,78,61,65,4,9,6,4,5,no,no,no,r programming,system designing,yes,no,medium,excellent,cloud computing,system developer,job,BPA,no,yes,Art,salary,yes,gentle,Management,work,hard worker,no,yes,Quality Assurance Associate
74,89,66,75,86,61,63,80,69,9,9,5,7,6,no,yes,yes,shell programming,testing,yes,yes,excellent,poor,data engineering,testing,job,Service Based,no,no,Childrens,Work,yes,gentle,Management,work,smart worker,no,no,Technical Support
92,67,76,92,69,90,80,77,66,4,7,5,5,1,yes,yes,no,full stack,testing,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,product development,no,yes,Childrens,salary,yes,stubborn,Technical,work,smart worker,no,yes,Technical Support
